"","x","y","median_weekly_rent","approximate_date","poa_code"
"228",353.6698555655,164.761238095238,710.177750410509,2011-09-24,"6010"
"229",355.07251221646,156.252285714286,673.501231527093,2011-10-04,"6010"
"230",356.47516886743,149.804095238095,645.707307060755,2011-10-14,"6010"
"231",357.8778255184,147.577142857143,636.108374384236,2011-10-24,"6010"
"232",359.6812412125,146.447047619048,631.237274220033,2011-11-03,"6010"
"233",361.08389786347,145.882,628.801724137931,2011-11-13,"6010"
"234",362.48655451444,147.145047619048,634.245894909688,2011-11-23,"6010"
"235",363.88921116541,155.155428571429,668.773399014779,2011-12-03,"6010"
"236",365.89300638108,151.99780952381,655.162972085386,2011-12-12,"6010"
"237",367.29566303204,151.366285714286,652.440886699507,2011-12-22,"6010"
"238",368.69831968301,151.29980952381,652.154351395731,2012-01-01,"6010"
"239",370.10097633398,146.712952380952,632.38341543514,2012-01-11,"6010"
"240",372.10477154965,144.419523809524,622.497947454844,2012-01-21,"6010"
"241",373.50742820062,140.597142857143,606.022167487685,2012-01-31,"6010"
"242",374.91008485158,138.37019047619,596.423234811166,2012-02-10,"6010"
"243",376.31274150255,140.530666666667,605.735632183908,2012-02-20,"6010"
"244",378.11615719665,144.220095238095,621.638341543514,2012-03-01,"6010"
"245",379.51046470089,145.449904761905,626.939244663383,2012-03-11,"6010"
"246",380.91312135186,147.377714285714,635.248768472907,2012-03-20,"6010"
"247",382.31577800283,152.629333333333,657.885057471264,2012-03-30,"6010"
"248",384.31957321849,159.177238095238,686.108784893268,2012-04-09,"6010"
"249",385.72222986946,165.891333333333,715.048850574713,2012-04-19,"6010"
"250",387.12488652043,164.728,710.034482758621,2012-04-29,"6010"
"251",388.5275431714,176.42780952381,756.050040355125,2012-05-09,"6010"
"252",390.3309588655,179.053619047619,767.176351896691,2012-05-19,"6010"
"253",391.73361551647,163.730857142857,705.73645320197,2012-05-29,"6010"
"254",393.13627216744,156.784095238095,675.793513957307,2012-06-08,"6010"
"255",394.5389288184,153.56,661.896551724138,2012-06-17,"6010"
"256",396.54272403407,153.327333333333,660.89367816092,2012-06-27,"6010"
"257",397.94538068504,153.227619047619,660.463875205254,2012-07-07,"6010"
"258",399.34803733601,153.161142857143,660.177339901478,2012-07-17,"6010"
"259",400.75069398698,155.354857142857,669.633004926108,2012-07-27,"6010"
"260",402.75448920264,153.294095238095,660.750410509031,2012-08-06,"6010"
"261",404.15714585361,151.931333333333,654.876436781609,2012-08-16,"6010"
