"","x","y","median_weekly_rent","approximate_date","poa_code"
"1",0,174.5,300.862068965517,2009-08-01,"3243"
"2",4.8396819016853,174.5,300.862068965517,2009-08-24,"3243"
"3",6.3038610277387,174.5,300.862068965517,2009-09-17,"3243"
"4",7.776807693469,174.5,300.862068965517,2009-10-11,"3243"
"5",9.2497543591993,174.5,300.862068965517,2009-11-04,"3243"
"6",11.353963881671,174.5,300.862068965517,2009-11-28,"3243"
"7",12.826910547402,174.5,300.862068965517,2009-12-22,"3243"
"8",14.299857213132,174.5,300.862068965517,2010-01-15,"3243"
"9",15.772803878862,174.5,300.862068965517,2010-02-08,"3243"
"10",17.666592449087,174.5,300.862068965517,2010-03-04,"3243"
"11",19.139539114817,174.5,300.862068965517,2010-03-28,"3243"
"12",20.612485780548,174.5,300.862068965517,2010-04-21,"3243"
"13",62.284601865168,186.133333333333,318.870056497175,2010-05-15,"3243"
"14",63.757548530898,191.95,328.728813559322,2010-06-08,"3243"
"15",65.230495196629,194.858333333333,333.658192090396,2010-07-02,"3243"
"16",66.703441862359,196.270952380952,336.052461662631,2010-07-26,"3243"
"17",68.807651384831,197.01880952381,337.32001614205,2010-08-19,"3243"
"18",70.280598050561,197.35119047619,337.883373688458,2010-09-12,"3243"
"19",71.753544716291,197.517380952381,338.165052461663,2010-10-06,"3243"
"20",73.226491382022,190.37119047619,326.052865213882,2010-10-30,"3243"
"21",75.330700904494,186.798095238095,319.996771589992,2010-11-23,"3243"
"22",103.93918287043,184.97,316.898305084746,2010-12-17,"3243"
"23",105.41212953616,184.055952380952,315.349071832123,2011-01-10,"3243"
"24",107.51633905864,183.640476190476,314.644874899112,2011-02-03,"3243"
"25",108.98928572437,183.39119047619,314.222356739306,2011-02-27,"3243"
"26",110.4622323901,183.308095238095,314.081517352704,2011-03-23,"3243"
"27",111.93517905583,183.225,313.940677966102,2011-04-15,"3243"
"28",113.40812572156,183.225,313.940677966102,2011-05-09,"3243"
"29",114.88107238729,183.225,313.940677966102,2011-06-02,"3243"
"30",116.35401905302,183.225,313.940677966102,2011-06-26,"3243"
"31",117.82696571875,183.225,313.940677966102,2011-07-20,"3243"
"32",119.93117524122,183.225,313.940677966102,2011-08-13,"3243"
"33",121.41288944663,183.225,313.940677966102,2011-09-06,"3243"
"34",122.88583611236,183.225,313.940677966102,2011-09-30,"3243"
"35",124.35878277809,183.225,313.940677966102,2011-10-24,"3243"
"36",222.62536747753,186.133333333333,318.870056497175,2011-11-17,"3243"
"37",224.09831414326,187.545952380952,321.264326069411,2011-12-11,"3243"
"38",246.39416754178,188.29380952381,322.53188054883,2012-01-04,"3243"
"39",248.28795611201,188.62619047619,323.095238095238,2012-01-28,"3243"
"40",249.76090277774,188.792380952381,323.376916868442,2012-02-21,"3243"
"41",251.23384944347,188.875476190476,323.517756255044,2012-03-16,"3243"
"42",252.7067961092,188.958571428571,323.658595641646,2012-04-09,"3243"
"43",254.81100563167,188.958571428571,323.658595641646,2012-05-03,"3243"
"44",256.2839522974,188.958571428571,323.658595641646,2012-05-27,"3243"
"45",257.75689896313,188.958571428571,323.658595641646,2012-06-20,"3243"
"46",259.22984562886,155.554285714286,268.197044334975,2012-07-14,"3243"
"47",261.33405515133,135.94380952381,234.385878489327,2012-08-07,"3243"
"48",276.70355220505,126.138571428571,217.480295566502,2012-08-31,"3243"
"49",278.17649887078,121.235952380952,209.02750410509,2012-09-24,"3243"
"50",280.07028744101,118.743095238095,204.72947454844,2012-10-18,"3243"
"51",281.54323410674,117.496666666667,202.580459770115,2012-11-11,"3243"
"52",283.01618077247,116.915,201.577586206897,2012-12-04,"3243"
