"","x","y","median_weekly_rent","approximate_date","poa_code"
"230",371.41252162126,149.010535714286,342.552955665025,2014-06-06,"4677"
"231",372.8739536906,150.319285714286,345.56157635468,2014-06-14,"4677"
"232",374.75293777974,153.310714285714,352.43842364532,2014-06-22,"4677"
"233",376.21436984908,150.50625,345.991379310345,2014-06-29,"4677"
"234",377.67580191841,149.135178571429,342.839490968801,2014-07-07,"4677"
"235",379.13723398775,148.449642857143,341.26354679803,2014-07-15,"4677"
"236",381.2249940868,148.138035714286,340.547208538588,2014-07-22,"4677"
"237",382.68642615614,147.701785714286,339.544334975369,2014-07-30,"4677"
"238",384.14785822547,149.259821428571,343.126026272578,2014-08-07,"4677"
"239",385.60929029481,148.325,340.977011494253,2014-08-15,"4677"
"240",387.69705039386,147.701785714286,339.544334975369,2014-08-22,"4677"
"241",389.1584824632,145.832142857143,335.246305418719,2014-08-30,"4677"
"242",390.61991453253,144.959642857143,333.240558292282,2014-09-07,"4677"
"243",392.08134660187,144.461071428571,332.094417077176,2014-09-15,"4677"
"244",393.96033069102,143.9625,330.948275862069,2014-09-22,"4677"
"245",395.41306375994,143.837857142857,330.661740558292,2014-09-30,"4677"
"246",396.87449582927,144.024821428571,331.091543513957,2014-10-08,"4677"
"247",398.33592789861,142.591428571429,327.796387520525,2014-10-16,"4677"
"248",400.42368799766,139.911607142857,321.635878489327,2014-10-23,"4677"
"249",401.885120067,138.7275,318.913793103448,2014-10-31,"4677"
"250",403.34655213633,137.543392857143,316.19170771757,2014-11-08,"4677"
"251",404.80798420567,137.543392857143,316.19170771757,2014-11-15,"4677"
"252",406.68696829482,138.353571428571,318.054187192118,2014-11-23,"4677"
"253",408.14840036415,138.914464285714,319.343596059113,2014-12-01,"4677"
"254",409.60983243349,139.226071428571,320.059934318555,2014-12-09,"4677"
"255",411.07126450282,139.350714285714,320.346469622332,2014-12-16,"4677"
"256",413.15902460188,139.350714285714,320.346469622332,2014-12-24,"4677"
"257",414.62045667121,138.353571428571,318.054187192118,2015-01-01,"4677"
"258",416.08188874055,139.475357142857,320.633004926108,2015-01-09,"4677"
"259",417.54332080988,139.475357142857,320.633004926108,2015-01-16,"4677"
"260",419.63108090894,139.413035714286,320.48973727422,2015-01-24,"4677"
"261",421.09251297827,139.413035714286,320.48973727422,2015-02-01,"4677"
"262",422.55394504761,139.413035714286,320.48973727422,2015-02-08,"4677"
"263",424.01537711694,139.724642857143,321.206075533662,2015-02-16,"4677"
"264",425.47680918628,140.098571428571,322.065681444992,2015-02-24,"4677"
"265",426.93824125562,141.905892857143,326.220443349754,2015-03-04,"4677"
"266",428.39967332495,143.650892857143,330.231937602627,2015-03-11,"4677"
"267",429.86110539429,143.214642857143,329.229064039409,2015-03-19,"4677"
"268",431.94886549334,144.585714285714,332.380952380952,2015-03-27,"4677"
"269",433.41899656309,145.27125,333.956896551724,2015-04-04,"4677"
"270",434.88042863242,147.203214285714,338.398193760263,2015-04-11,"4677"
"271",436.34186070176,148.200357142857,340.690476190476,2015-04-19,"4677"
"272",438.22084479091,148.636607142857,341.693349753695,2015-04-27,"4677"
"273",439.68227686024,148.885892857143,342.266420361248,2015-05-05,"4677"
"274",441.14370892958,148.948214285714,342.409688013136,2015-05-12,"4677"
"275",442.60514099892,149.010535714286,342.552955665025,2015-05-20,"4677"
"276",444.69290109797,147.140892857143,338.254926108374,2015-05-28,"4677"
"277",446.1543331673,144.648035714286,332.524220032841,2015-06-04,"4677"
"278",447.61576523664,144.959642857143,333.240558292282,2015-06-12,"4677"
"279",449.07719730597,149.384464285714,343.412561576355,2015-06-20,"4677"
"280",450.95618139512,149.135178571429,342.839490968801,2015-06-28,"4677"
"281",452.41761346446,149.322142857143,343.269293924466,2015-07-05,"4677"
"282",453.87904553379,149.135178571429,342.839490968801,2015-07-13,"4677"
"283",455.34047760313,149.072857142857,342.696223316913,2015-07-21,"4677"
"284",457.42823770218,149.571428571429,343.84236453202,2015-07-29,"4677"
"285",458.88966977152,149.1975,342.98275862069,2015-08-05,"4677"
"286",460.35110184085,147.764107142857,339.687602627258,2015-08-13,"4677"
"287",461.81253391019,147.078571428571,338.111658456486,2015-08-21,"4677"
"288",463.90029400924,146.642321428571,337.108784893268,2015-08-29,"4677"
"289",465.36172607858,146.455357142857,336.678981937603,2015-09-05,"4677"
"290",466.82315814791,146.393035714286,336.535714285714,2015-09-13,"4677"
"291",468.28459021725,146.330714285714,336.392446633826,2015-09-21,"4677"
"292",470.16357430639,143.152321428571,329.085796387521,2015-09-28,"4677"
"293",471.61630737532,144.39875,331.951149425287,2015-10-06,"4677"
"294",473.07773944465,145.27125,333.956896551724,2015-10-14,"4677"
"295",474.53917151399,145.769821428571,335.103037766831,2015-10-22,"4677"
"296",476.62693161304,144.523392857143,332.237684729064,2015-10-29,"4677"
"297",478.08836368238,143.9625,330.948275862069,2015-11-06,"4677"
"298",479.54979575171,143.713214285714,330.375205254516,2015-11-14,"4677"
"299",481.01122782105,143.588571428571,330.088669950739,2015-11-22,"4677"
"300",482.8902119102,139.911607142857,321.635878489327,2015-11-29,"4677"
"301",484.35164397953,138.540535714286,318.483990147783,2015-12-07,"4677"
"302",485.81307604887,136.172321428571,313.039819376026,2015-12-15,"4677"
